"sample_id","Shannon","Simpson","subject_id","visit_number","sample_body_site","study_full_name","project_name"
"ep337457_k40_mv1d",2.30503723642239,0.844416734424074,"e50d0c183689e4053ccb35f8b29ed519",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep337457_k50_mv1d",1.4145405342156,0.5801559664918,"e50d0c183689e4053ccb35f8b29ed519",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep338059_k10_mv1d",0.318396463859351,0.114075787511454,"858ed4564f11795ec13dda4c10a40e64",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep338059_k20_mv1d",0.338638164202394,0.155714400372476,"858ed4564f11795ec13dda4c10a40e64",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep338059_k30_mv1d",0.159895312283674,0.058820021863231,"858ed4564f11795ec13dda4c10a40e64",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep338059_k40_mv1d",0.197440005877488,0.0687502861116852,"858ed4564f11795ec13dda4c10a40e64",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep338059_k50_mv1d",0.524339249004547,0.225448130943219,"858ed4564f11795ec13dda4c10a40e64",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep342029_k10_mv1d",0.272612306931066,0.105960126820664,"858ed4564f11795ec13dda4c10a412d5",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep346384_k10_mv1d",1.7714346631122,0.630625455260552,"e50d0c183689e4053ccb35f8b29edb65",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep346384_k20_mv1d",1.85030398969051,0.72541923542855,"e50d0c183689e4053ccb35f8b29edb65",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep346384_k30_mv1d",2.24753886114195,0.811155273576784,"e50d0c183689e4053ccb35f8b29edb65",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep346384_k40_mv1d",2.44590115294769,0.893009971130812,"e50d0c183689e4053ccb35f8b29edb65",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep346384_k50_mv1d",1.87076068522015,0.778927306120658,"e50d0c183689e4053ccb35f8b29edb65",5,"vagina","momspi","Integrative Human Microbiome Project"
"ep346384_k60_mv1d",1.9871365797691,0.791021978022315,"e50d0c183689e4053ccb35f8b29edb65",6,"vagina","momspi","Integrative Human Microbiome Project"
"ep346571_k10_mv1d",0.463402353357549,0.19649645731241,"88af6472fb03642dd5eaf8cddcc067c6",1,"vagina","momspi","Integrative Human Microbiome Project"
